CustomerID,Age,Gender,Tenure,Monthly Charges,Total Charges,Contract Type,Has Internet Service,Has Online Security Service,Has Device Protection Plan,Number of Complaints Last Year,Churn,Region
1150,58,Female,52,40.78,7604.14,Month-to-month,Fiber optic,No,No,8,0,West
1151,54,Female,62,106.19,1114.56,Month-to-month,Fiber optic,Yes,No,2,0,South
1152,31,Female,58,45.47,724.77,One year,No,No,No,7,1,North
1153,47,Other,19,109.99,2956.17,Month-to-month,Fiber optic,No,Yes,7,0,North
1154,52,Male,13,67.42,1669.84,Two year,DSL,No,Yes,9,0,South
1155,38,Male,32,101.91,4628.45,Month-to-month,Fiber optic,Yes,Yes,9,0,East
1156,54,Male,9,123.54,4324.53,Two year,Fiber optic,No,No,8,0,North
1157,22,Female,49,92.62,4521.47,One year,DSL,No,Yes,3,0,North
1158,36,Other,37,122.98,4736.58,One year,DSL,Yes,No,9,0,East
1159,31,Male,31,53.73,1645.97,Two year,No,Yes,No,4,0,South
1160,43,Female,31,128.78,381.72,Two year,DSL,No,Yes,6,0,East
1161,21,Other,59,118.15,7049.7,Two year,DSL,Yes,No,8,0,South
1162,42,Other,55,40.85,1046.72,Two year,Fiber optic,Yes,No,7,0,North
1163,62,Male,19,71.76,2932.13,Two year,DSL,No,No,6,0,East
1164,59,Male,63,123.62,6266.08,Two year,DSL,Yes,No,2,1,North
1165,42,Female,2,37.88,4096.82,Month-to-month,Fiber optic,Yes,Yes,2,0,South
1166,35,Male,45,75.82,3394.36,Two year,No,Yes,No,3,0,East
1167,57,Female,43,103.07,3528.5,Month-to-month,DSL,Yes,No,0,0,East
1168,25,Other,1,33.37,4087.51,One year,Fiber optic,Yes,Yes,6,0,West
1169,56,Other,61,106.03,1765.49,Two year,No,No,No,8,0,West
1170,57,Other,3,66.47,1616.2,One year,No,Yes,Yes,4,0,East
1171,31,Other,44,55.18,2410.03,Month-to-month,No,Yes,Yes,9,0,West
1172,49,Male,7,88.16,889.82,Two year,No,No,Yes,9,0,North
1173,68,Male,33,84.97,2347.55,Month-to-month,Fiber optic,No,Yes,5,0,East
1174,55,Female,9,118.26,6053.02,Two year,No,Yes,Yes,4,0,South
1175,50,Female,30,98.27,4596.92,Two year,Fiber optic,No,No,5,0,North
1176,40,Female,18,72.6,3933,Two year,No,No,No,0,0,South
1177,32,Female,56,95.65,1558.91,Two year,Fiber optic,No,Yes,5,0,East
1178,50,Female,31,105.75,2033.5,Month-to-month,No,Yes,No,7,0,West
1179,42,Other,63,124.66,8266.85,Month-to-month,Fiber optic,No,Yes,4,1,West
1180,34,Other,50,101.12,2103.4,One year,DSL,Yes,No,0,0,North
1181,50,Other,1,84.92,7274.69,Two year,DSL,Yes,Yes,4,0,South
1182,64,Female,19,67.66,2641.19,One year,Fiber optic,Yes,Yes,9,1,South
1183,19,Other,64,120.03,1376.28,One year,No,Yes,Yes,1,1,South
1184,31,Other,53,110.03,500.41,One year,DSL,Yes,Yes,0,1,North
1185,57,Other,6,37.79,4126.87,Month-to-month,DSL,No,No,4,0,South
1186,57,Other,17,100.64,824.72,One year,Fiber optic,No,No,9,0,North
1187,68,Male,46,84.4,2639.88,Two year,Fiber optic,Yes,Yes,7,1,North
1188,56,Female,55,40.46,6588.58,Two year,Fiber optic,Yes,No,3,0,West
1189,68,Female,6,87.05,5453.21,Two year,Fiber optic,No,Yes,4,0,South
1190,23,Male,70,49.43,6231.04,One year,Fiber optic,Yes,Yes,8,0,East
1191,23,Other,68,101.51,3103.91,One year,DSL,No,Yes,8,1,South
1192,20,Other,40,58.11,493.12,One year,Fiber optic,Yes,No,3,1,West
1193,24,Other,66,45.17,454.33,Two year,No,No,No,5,1,East
1194,68,Female,9,38.27,5980.04,Month-to-month,Fiber optic,Yes,No,1,0,East
1195,25,Female,11,79.56,3224.5,One year,No,Yes,Yes,2,1,South
1196,59,Female,20,50.15,2585.09,Month-to-month,DSL,Yes,No,0,0,North
1197,69,Female,43,116.36,2192.87,One year,DSL,No,No,0,1,South
1198,32,Female,58,30.29,97.48,Month-to-month,Fiber optic,Yes,No,5,1,North
1199,64,Male,26,115.2,95.32,Two year,DSL,Yes,Yes,5,0,West
1200,46,Female,38,82.62,4943.92,Two year,DSL,Yes,No,4,0,East
1201,50,Other,36,123.13,2225.41,One year,No,No,No,0,0,East
1202,69,Female,55,50.66,3725.71,One year,DSL,Yes,No,9,0,East
1203,47,Male,6,40.32,631.19,Two year,Fiber optic,Yes,No,1,0,West
1204,56,Other,3,93.11,2863.2,Month-to-month,DSL,No,Yes,8,0,North
1205,44,Male,65,101.37,2909.28,Month-to-month,DSL,Yes,No,6,0,West
1206,53,Other,64,67.62,4095.55,Two year,No,Yes,No,7,0,North
1207,46,Female,58,31.37,323.58,One year,No,No,Yes,7,1,North
1208,55,Male,58,71.09,3393.6,One year,Fiber optic,No,No,0,0,East
1209,50,Other,18,53.6,146.45,One year,DSL,No,No,3,0,South
1210,54,Female,23,65.08,4641.78,Two year,DSL,Yes,Yes,2,1,South
1211,44,Other,29,81.17,954.61,One year,No,Yes,No,6,1,East
1212,50,Male,23,100.93,3758.77,One year,DSL,No,No,2,0,East
1213,21,Male,36,127.28,1216.68,Month-to-month,No,Yes,Yes,7,0,North
1214,39,Male,70,44.53,101.73,Two year,Fiber optic,No,Yes,5,0,South
1215,19,Male,6,98.66,5865.23,One year,No,No,Yes,2,0,West
1216,27,Female,34,53.54,2780.35,Two year,Fiber optic,Yes,No,0,0,South
1217,22,Other,44,52.28,2996.61,Month-to-month,DSL,Yes,No,7,0,West
1218,27,Female,44,93.98,1505.51,Two year,DSL,Yes,Yes,7,1,North
1219,50,Male,27,108.37,1470.12,Two year,No,No,No,8,0,East
1220,55,Other,52,128.75,3571.7,Month-to-month,Fiber optic,No,Yes,6,0,East
1221,30,Male,42,107.64,5331.52,Two year,No,No,Yes,7,0,West
1222,48,Female,25,45.88,2079.1,One year,DSL,No,No,0,0,West
1223,64,Female,39,52.76,4139.95,Two year,No,Yes,Yes,0,1,South
1224,53,Female,39,106.89,2226.14,One year,DSL,No,Yes,6,0,East
1225,62,Other,12,83.22,4478.89,Month-to-month,No,No,No,6,0,North
1226,41,Other,11,59.83,5906.8,One year,Fiber optic,No,No,2,0,North
1227,69,Male,3,77.64,1370.97,One year,Fiber optic,Yes,No,5,0,South
1228,32,Other,22,122.39,993.71,Month-to-month,Fiber optic,Yes,Yes,5,0,West
1229,46,Other,4,106.31,2200.07,One year,No,No,No,5,0,South
1230,25,Female,8,75.51,4874.94,One year,DSL,No,No,3,1,North
1231,22,Male,14,129.03,1483,Two year,No,Yes,Yes,8,0,East
1232,46,Female,14,110.27,4452,One year,DSL,Yes,Yes,3,0,South
1233,64,Male,16,30.58,7574.04,Month-to-month,Fiber optic,Yes,No,3,0,East
1234,21,Male,32,41.34,312.35,Two year,Fiber optic,Yes,Yes,9,0,East
1235,29,Other,64,85.94,2749.65,Two year,No,No,No,4,1,South
1236,62,Female,16,65.34,1589.27,One year,DSL,Yes,Yes,1,0,North
1237,19,Other,52,112.06,6807.52,Two year,DSL,No,No,5,1,North
1238,44,Other,19,120.45,2366.57,Month-to-month,DSL,Yes,Yes,6,0,East
1239,48,Other,69,54.3,3688.36,Month-to-month,No,Yes,No,2,1,West
1240,68,Male,12,107.08,3587.52,One year,DSL,No,Yes,3,0,South
1241,68,Female,5,84.07,6002.68,One year,No,Yes,Yes,4,1,East
1242,53,Female,42,69.58,1314.83,Month-to-month,Fiber optic,No,Yes,0,0,South
1243,53,Other,17,109.45,4249.91,Month-to-month,Fiber optic,No,No,7,0,South
1244,43,Male,10,87.05,1486.16,Month-to-month,Fiber optic,No,No,3,0,North
1245,60,Female,16,94.15,1097.1,Two year,Fiber optic,No,Yes,9,1,West
1246,44,Female,16,36.28,738.43,One year,No,Yes,Yes,4,0,West
1247,22,Other,42,89.16,1312.71,One year,No,No,Yes,3,0,East
1248,37,Male,3,60.36,3686.29,Month-to-month,No,Yes,Yes,1,0,North
1249,28,Other,23,79.81,833.84,Month-to-month,Fiber optic,No,Yes,8,0,South
1250,27,Female,28,52.41,390.29,One year,Fiber optic,Yes,No,0,0,East
1251,57,Male,45,92.05,1384.34,Two year,DSL,No,No,0,0,South
1252,55,Other,68,44.88,2926.85,One year,No,No,Yes,7,1,East
1253,23,Female,24,42.4,902.34,One year,DSL,Yes,No,0,0,South
1254,25,Other,19,49.02,4060.65,One year,Fiber optic,Yes,No,5,0,East
1255,40,Other,40,112.55,2930.62,Month-to-month,DSL,No,Yes,2,0,South
1256,64,Other,46,33.38,1082.43,One year,Fiber optic,Yes,Yes,5,0,East
1257,43,Male,40,103.68,1742.79,One year,DSL,No,No,7,0,West
1258,63,Female,62,35.7,2539.82,One year,No,No,Yes,0,0,North
1259,60,Female,18,89.77,2164.13,One year,Fiber optic,Yes,No,0,1,East
1260,29,Female,12,108.12,6452.43,Two year,No,No,No,5,1,South
1261,43,Female,14,53.33,1784.95,Two year,No,No,Yes,7,1,East
1262,30,Male,61,49.78,7224.94,Month-to-month,DSL,Yes,Yes,3,1,East
1263,57,Other,12,59.2,1059.51,One year,Fiber optic,No,Yes,7,1,West
1264,35,Female,27,100.65,5221.96,Month-to-month,DSL,No,Yes,2,1,West
1265,42,Male,6,55.73,6738.48,One year,No,Yes,Yes,5,1,West
1266,50,Other,33,80.67,5534.45,Month-to-month,Fiber optic,No,No,3,0,East
1267,64,Male,50,43.57,2060.49,One year,DSL,Yes,No,7,0,South
1268,57,Male,12,76.57,1982.03,Two year,No,Yes,No,5,1,West
1269,60,Female,57,93.09,4206.03,Two year,No,No,No,2,1,East
1270,29,Female,53,37.24,4530.24,One year,DSL,Yes,Yes,5,0,East
1271,61,Other,13,112.35,477.51,Month-to-month,No,Yes,No,4,0,West
1272,53,Other,3,124.67,2413.9,One year,No,No,Yes,8,0,South
1273,65,Female,64,49.54,6055.8,One year,DSL,Yes,No,9,0,South
1274,21,Male,58,106.69,137.13,One year,DSL,Yes,No,1,0,East
1275,22,Female,4,61.65,1750.06,Two year,No,No,No,7,1,East
1276,54,Other,45,98.34,884.43,Month-to-month,DSL,No,Yes,9,0,West
1277,25,Male,66,60.96,5542.66,Two year,No,No,No,1,0,South
1278,59,Male,36,117.09,3000.11,One year,Fiber optic,Yes,Yes,0,0,West
1279,66,Male,23,65.05,6068.6,Month-to-month,No,No,No,4,0,West
1280,45,Female,19,115.72,3521.71,Month-to-month,DSL,No,No,8,0,South
1281,48,Female,40,107.37,2929.72,Two year,DSL,Yes,Yes,8,1,West
1282,26,Other,16,49.82,1900.23,One year,No,No,No,6,0,North
1283,68,Male,58,45.84,657,One year,No,Yes,Yes,9,0,West
1284,46,Male,18,108.74,349.23,Month-to-month,No,No,No,9,1,South
1285,31,Female,36,69.41,5552.77,Two year,Fiber optic,No,Yes,7,1,North
1286,57,Other,24,125.88,201.11,Two year,DSL,Yes,No,5,1,West
1287,58,Other,1,125.23,2348.8,One year,Fiber optic,Yes,Yes,1,1,East
1288,39,Male,1,100.03,3507.05,Two year,DSL,Yes,No,7,0,South
1289,28,Female,64,80.55,2614.14,Month-to-month,Fiber optic,No,No,3,1,South
1290,40,Male,62,49.68,4241.46,One year,No,Yes,No,2,0,North
1291,18,Female,36,119.11,2187.65,Month-to-month,Fiber optic,Yes,Yes,1,0,North
1292,63,Other,18,38.27,4133.77,Two year,No,Yes,Yes,8,1,North
1293,54,Male,16,67.4,3771.59,One year,DSL,No,Yes,3,1,North
1294,38,Male,17,62.23,3801.53,Month-to-month,No,No,Yes,0,0,South
1295,43,Male,24,126.79,4690.07,One year,DSL,Yes,Yes,9,0,South
1296,63,Other,68,41.92,1992.97,One year,DSL,Yes,No,1,1,North
1297,53,Male,2,119.9,3397.14,Month-to-month,No,Yes,Yes,3,0,North
1298,40,Other,10,76.09,1264.49,One year,DSL,No,Yes,7,1,East
1299,18,Female,53,34.79,2648.5,One year,DSL,Yes,No,4,0,East
1300,68,Other,51,103.61,2330.83,One year,DSL,Yes,Yes,2,0,North
1301,57,Female,69,40.18,222.68,Month-to-month,Fiber optic,No,No,1,1,West
1302,32,Other,14,53.93,1726.13,Month-to-month,Fiber optic,Yes,No,3,0,West
1303,38,Other,66,110.76,1343.17,One year,DSL,Yes,Yes,1,1,South
1304,64,Male,53,45.62,3465.77,Month-to-month,Fiber optic,No,No,7,0,South
1305,26,Other,64,62.86,1359.03,One year,Fiber optic,Yes,Yes,6,0,West
1306,26,Male,49,66.45,3876.24,Two year,No,No,Yes,3,0,North
1307,27,Female,62,89.46,190.39,Two year,No,Yes,No,8,0,South
1308,69,Female,37,109.77,2077.36,Two year,DSL,No,No,5,0,South
1309,43,Male,49,53.3,3499.82,Month-to-month,No,No,No,7,1,North
1310,58,Female,68,50.77,2961.83,One year,DSL,Yes,Yes,3,1,East
1311,52,Other,33,52.4,4298.22,Month-to-month,DSL,No,Yes,5,1,East
1312,69,Male,22,68.53,3568.99,Two year,No,No,No,9,0,East
1313,42,Male,70,84.04,618.54,Two year,No,No,No,5,0,West
1314,43,Male,33,31.35,1452.65,One year,No,No,No,4,0,South
1315,28,Female,28,108.8,3970.95,One year,DSL,Yes,Yes,3,0,North
1316,55,Female,4,123.59,1507.23,One year,DSL,Yes,Yes,4,0,East
1317,19,Other,66,115.19,8202.4,Month-to-month,Fiber optic,No,Yes,7,0,East
1318,24,Other,49,33.75,3031.38,Month-to-month,DSL,Yes,Yes,4,0,West
1319,35,Male,11,82.96,287.2,One year,No,Yes,No,1,0,West
1320,44,Other,35,112.21,2201.58,Month-to-month,DSL,Yes,Yes,2,1,North
1321,51,Female,39,64.75,2157.66,Month-to-month,No,Yes,No,2,0,South
1322,44,Other,10,120.59,6461.36,Two year,No,No,No,0,0,North
1323,34,Female,69,119.56,2363.07,Two year,DSL,Yes,No,4,1,East
1324,60,Other,23,44.3,2388.83,One year,No,No,Yes,3,0,North
1325,61,Female,34,79.85,1300.09,One year,DSL,No,Yes,0,0,East
1326,68,Female,32,32.58,3351.93,One year,No,Yes,Yes,9,1,East
1327,41,Other,16,58.46,1893.23,Two year,DSL,Yes,Yes,3,1,West
1328,42,Other,68,111.99,1676.94,Month-to-month,Fiber optic,No,Yes,3,0,West
1329,24,Female,54,128.48,7081.17,Month-to-month,DSL,Yes,No,2,0,North
1330,69,Male,28,122.24,1219.52,Two year,No,No,Yes,6,0,East
1331,23,Other,60,34.29,245.74,One year,No,Yes,Yes,6,1,West
1332,41,Female,60,123.59,1687.25,One year,DSL,No,No,0,1,South
1333,50,Other,44,113.08,2450.5,One year,No,No,No,6,0,East
1334,66,Other,2,117.63,2527.68,One year,Fiber optic,Yes,No,0,1,South
1335,46,Other,23,122.39,2687.33,Month-to-month,DSL,Yes,Yes,9,0,North
1336,60,Other,46,79.3,1965.98,One year,Fiber optic,No,No,8,0,West
1337,39,Other,54,51.32,5315.04,Two year,Fiber optic,Yes,No,5,0,East
1338,43,Male,71,32.11,88.42,One year,DSL,No,No,6,0,East
1339,45,Male,9,32.37,2054.59,Month-to-month,Fiber optic,No,Yes,9,1,West
1340,67,Male,70,94.88,3924.41,One year,No,No,Yes,2,0,North
1341,38,Female,44,64.06,2321.22,One year,Fiber optic,No,No,6,1,East
1342,66,Male,12,80.08,5629.84,Month-to-month,No,No,Yes,8,0,South
1343,24,Male,32,43.25,434.64,Two year,Fiber optic,Yes,No,9,0,East
1344,34,Female,34,128.52,4218.36,Month-to-month,DSL,No,Yes,9,0,West
1345,37,Male,33,43.11,3348.99,Month-to-month,No,No,Yes,1,0,East
1346,58,Other,64,74.92,3091.4,One year,Fiber optic,No,Yes,4,0,West
1347,66,Male,48,74.77,4823.82,Month-to-month,No,No,Yes,2,1,North
1348,37,Male,16,30.86,6523.43,One year,DSL,No,No,1,1,West
1349,39,Male,50,97.44,1432.31,Month-to-month,No,Yes,No,8,0,North
1350,45,Other,23,84.35,2641.15,Month-to-month,No,No,No,1,0,North
1351,57,Other,26,80.24,2789.33,One year,No,Yes,Yes,1,0,West
1352,66,Other,54,112.62,5230.37,Month-to-month,Fiber optic,Yes,No,2,0,East
1353,24,Other,44,54.34,1148.74,Month-to-month,Fiber optic,Yes,Yes,5,0,North
1354,18,Female,37,116.96,2771.43,One year,No,Yes,No,5,0,East
1355,49,Other,9,117.33,4368.23,Month-to-month,DSL,Yes,No,6,1,South
1356,30,Other,13,113.5,7356.41,Month-to-month,No,Yes,Yes,1,0,East
1357,47,Other,60,64.47,2697.18,One year,No,No,Yes,0,1,South
1358,40,Other,2,46.41,5536.68,Month-to-month,Fiber optic,Yes,Yes,1,0,North
1359,68,Female,60,77.98,1716.01,Two year,No,No,Yes,9,0,South
1360,36,Male,57,56.23,7565.71,Month-to-month,No,Yes,Yes,8,0,East
1361,49,Male,43,35.26,454.36,Month-to-month,DSL,Yes,Yes,1,0,South
1362,47,Other,19,58.22,3116.17,Month-to-month,DSL,Yes,Yes,6,0,West
1363,46,Other,11,77.37,6297.4,One year,No,No,No,0,0,West
1364,66,Other,47,41.38,5336.43,One year,No,No,No,8,0,East
1365,62,Male,63,125.37,1277.85,Two year,DSL,No,No,5,1,North
1366,46,Male,7,96.26,1646.38,One year,DSL,Yes,Yes,8,0,West
1367,47,Other,31,43.76,908.44,Two year,No,Yes,No,8,0,North
1368,33,Male,55,112.01,2695.4,Month-to-month,No,Yes,No,5,0,North
1369,57,Female,25,123.73,688.19,Month-to-month,No,No,No,5,0,North
1370,36,Other,30,56.53,3507.26,Month-to-month,Fiber optic,No,No,2,0,East
1371,35,Other,36,44.46,2859.63,Month-to-month,DSL,No,No,7,0,South
1372,18,Female,50,62.56,284.89,Two year,DSL,No,No,0,1,East
1373,31,Female,14,114.05,939.45,Two year,Fiber optic,Yes,No,5,0,South
1374,68,Male,29,47.67,797.41,Month-to-month,DSL,No,Yes,7,0,South
1375,64,Female,27,108.7,2634.84,Month-to-month,Fiber optic,No,Yes,8,1,West
1376,67,Other,50,102.33,3027.21,One year,DSL,No,No,3,0,South
1377,19,Male,36,95.78,1620.03,Month-to-month,No,Yes,Yes,3,0,East
1378,45,Female,34,73.76,3809.82,Two year,Fiber optic,No,Yes,2,0,West
1379,66,Male,21,67.03,5914.79,Two year,Fiber optic,Yes,No,0,0,South
1380,67,Male,38,38.6,5593.69,One year,No,No,Yes,9,1,West
1381,47,Male,50,66.08,884.81,Month-to-month,Fiber optic,Yes,No,0,0,North
1382,55,Male,37,90.78,3381.23,One year,DSL,Yes,Yes,1,0,South
1383,68,Female,19,120.71,210.3,Two year,Fiber optic,Yes,Yes,0,0,West
1384,21,Other,1,114.14,220.05,One year,No,Yes,Yes,0,0,East
1385,18,Other,40,33.24,2760.89,One year,Fiber optic,Yes,No,5,1,North
1386,25,Female,55,44.02,4261.56,Two year,DSL,No,No,4,0,East
1387,46,Other,26,115.69,5598.23,Month-to-month,No,No,No,4,0,West
1388,56,Male,43,124.86,2132.88,One year,Fiber optic,No,Yes,0,1,West
1389,20,Male,59,35.63,5255.34,One year,Fiber optic,No,No,2,0,South
1390,49,Male,51,100.82,3380,Two year,No,No,Yes,6,1,East
1391,27,Female,15,66.93,138.37,Two year,No,No,Yes,5,0,South
1392,27,Male,8,66.78,2480.32,One year,DSL,No,No,5,0,East
1393,36,Male,14,94.9,3206.91,Two year,Fiber optic,No,No,7,0,North
1394,63,Female,7,111.82,3072.04,Month-to-month,No,No,No,4,0,West
1395,51,Male,18,57.75,4094,One year,DSL,No,Yes,9,0,South
1396,50,Male,12,101.23,125.61,Month-to-month,No,No,No,1,0,East
1397,40,Other,2,94.21,5475.11,Two year,Fiber optic,No,Yes,3,1,North
1398,45,Female,50,82.24,2325,Month-to-month,Fiber optic,No,Yes,2,0,West
1399,49,Male,21,90.84,2591.15,Month-to-month,DSL,No,No,1,0,North
1400,67,Male,7,31.81,1330.69,One year,DSL,Yes,No,7,1,East
1401,24,Male,12,30.4,2494.17,Two year,No,No,Yes,9,0,North
1402,46,Male,57,85.58,50.83,Two year,Fiber optic,Yes,Yes,3,0,West
1403,25,Other,23,82.92,2919.44,Month-to-month,Fiber optic,No,No,4,0,West
1404,18,Other,30,37.19,825.24,One year,Fiber optic,No,No,8,0,West
1405,20,Other,58,79.68,4246.65,One year,DSL,Yes,Yes,8,0,North
1406,41,Other,52,106.5,528.28,Month-to-month,DSL,No,No,5,0,South
1407,40,Female,56,84.65,1398.5,One year,Fiber optic,No,Yes,8,0,South
1408,25,Male,10,82.27,3748.7,One year,Fiber optic,Yes,Yes,0,1,South
1409,64,Other,19,102.5,583.65,Two year,No,Yes,Yes,4,1,North
1410,54,Male,19,47.35,3417.72,Two year,DSL,No,No,6,1,North
1411,20,Female,59,76.2,2423.54,Two year,No,No,Yes,6,1,South
1412,68,Male,44,44.94,3797.02,Two year,DSL,No,Yes,1,1,North
1413,50,Male,59,82.9,2283.43,One year,No,No,No,8,0,East
1414,45,Other,4,89.78,3138.27,Month-to-month,No,Yes,Yes,0,0,North
1415,64,Other,65,42.28,2191.59,One year,No,Yes,Yes,8,0,North
1416,25,Female,13,37.62,3450.96,Month-to-month,Fiber optic,No,No,0,0,West
1417,51,Male,67,46.83,169.23,Month-to-month,No,Yes,No,2,1,East
1418,52,Other,12,89.21,1908.55,Month-to-month,DSL,Yes,No,9,1,West
1419,49,Other,55,49.14,4114.45,One year,No,No,No,0,0,North
1420,41,Other,61,57.79,2640.22,Month-to-month,Fiber optic,No,No,5,0,East
1421,31,Female,41,100.95,3162.53,Two year,Fiber optic,Yes,No,5,0,South
1422,49,Male,36,55.07,5410.94,One year,Fiber optic,No,No,1,0,North
1423,63,Other,2,70.14,2101.68,Month-to-month,Fiber optic,Yes,No,9,0,North
1424,60,Male,22,123.8,387.6,Month-to-month,No,No,Yes,2,0,South
1425,33,Female,22,113.31,3049.93,Month-to-month,No,No,Yes,6,0,West
1426,21,Male,41,55.79,5825.5,Two year,DSL,Yes,No,7,0,East
1427,69,Other,14,90.35,835.28,Two year,DSL,No,Yes,6,0,East
1428,54,Male,35,97.24,1533.2,Two year,No,No,Yes,7,0,West
1429,38,Male,50,120.91,477.22,Two year,DSL,No,No,3,1,East
1430,31,Female,9,85.28,4546.78,Two year,DSL,Yes,No,8,1,West
1431,48,Female,59,86.68,319.62,One year,DSL,No,No,0,0,East
1432,65,Male,56,119.72,1392.35,One year,DSL,No,Yes,5,1,East
1433,35,Male,10,35.48,2230.26,Two year,Fiber optic,No,No,3,1,North
1434,24,Male,25,93.43,2831.6,Month-to-month,DSL,Yes,Yes,0,0,North
1435,27,Female,45,72.07,236.2,One year,No,No,No,8,0,North
1436,24,Female,11,121.88,7819.26,Two year,No,No,Yes,0,1,South
1437,50,Male,9,127,130.85,Two year,DSL,No,No,3,0,North
1438,40,Female,7,47.18,181.8,Two year,Fiber optic,Yes,Yes,6,1,South
1439,38,Other,71,58.42,570.72,Month-to-month,Fiber optic,Yes,No,2,0,West
1440,36,Female,34,57.61,2899.39,One year,Fiber optic,Yes,No,2,0,North
1441,65,Female,20,40.15,3452.34,One year,DSL,Yes,Yes,9,1,East
1442,36,Female,5,78.77,8293.02,Two year,No,Yes,Yes,8,0,South
1443,53,Other,55,81.81,3663.78,One year,DSL,No,No,9,0,North
1444,46,Other,15,87.86,5650.81,Month-to-month,No,No,Yes,1,0,West
1445,35,Other,48,96.95,1823.69,Month-to-month,No,Yes,Yes,7,0,East
1446,19,Male,4,36.34,2415.7,One year,Fiber optic,No,No,5,0,South
1447,18,Male,21,92.86,289.98,Month-to-month,DSL,Yes,Yes,7,0,North
1448,64,Other,9,122.28,83.97,Two year,No,No,Yes,7,0,East
1449,22,Male,66,75.94,1194.63,Two year,No,Yes,No,0,0,North
1450,37,Male,35,40.77,2282.87,Two year,No,Yes,Yes,4,0,West
1451,28,Male,51,38.67,1007.18,Month-to-month,No,Yes,Yes,7,0,East
1452,59,Other,37,58.45,4659.76,Two year,No,No,No,0,0,North
1453,19,Female,6,105.99,2809.36,One year,Fiber optic,No,Yes,4,1,East
1454,20,Other,51,56.35,4412.69,Month-to-month,Fiber optic,Yes,Yes,5,0,North
1455,40,Other,66,112.24,1008.51,One year,No,Yes,No,3,1,East
1456,29,Male,17,112.78,4964.75,Two year,DSL,No,Yes,6,0,East
1457,37,Male,65,76.16,2208.19,Month-to-month,No,Yes,No,4,0,North
1458,22,Female,9,60.37,1724.57,Month-to-month,DSL,Yes,No,1,0,South
1459,54,Female,13,90.35,169.71,One year,No,No,Yes,2,0,South
1460,55,Female,58,111.85,3814.57,One year,Fiber optic,Yes,No,4,1,South
1461,47,Female,30,36.51,2727.49,One year,Fiber optic,No,Yes,1,1,East
1462,26,Other,31,126.29,1403.76,One year,DSL,Yes,Yes,8,0,North
1463,51,Female,23,95.23,6265.05,Month-to-month,No,Yes,No,8,0,North
1464,61,Other,63,70.2,3283.59,Two year,No,No,Yes,4,0,South
1465,52,Male,28,81.1,2936.09,One year,Fiber optic,No,No,1,1,South
1466,69,Female,59,68.93,8396.55,Month-to-month,DSL,No,No,0,0,East
1467,39,Male,10,71.66,4738.76,One year,No,Yes,No,3,1,East
1468,61,Male,26,90.15,6719.53,Two year,DSL,No,No,3,0,South
1469,41,Other,17,36.07,3296.26,Two year,Fiber optic,Yes,Yes,3,0,West
1470,34,Female,40,47.7,4561.33,One year,No,No,No,5,0,North
1471,27,Other,68,52.92,3284.49,One year,No,Yes,Yes,4,0,West
1472,47,Male,23,71.15,531.27,Month-to-month,DSL,No,No,6,0,South
1473,63,Female,35,67.47,2422.43,Month-to-month,Fiber optic,No,Yes,4,0,South
1474,40,Male,9,102.93,3380.99,Month-to-month,Fiber optic,Yes,Yes,8,0,West
1475,49,Male,45,56.17,1249.05,One year,DSL,No,No,5,0,East
1476,34,Female,37,35.75,770.27,One year,Fiber optic,Yes,Yes,4,0,South
1477,67,Female,69,35.59,1202.86,One year,Fiber optic,Yes,Yes,0,0,West
1478,68,Female,19,31.13,2347.95,Two year,DSL,No,No,5,0,West
1479,34,Other,27,33.83,7582.07,Two year,DSL,No,No,4,0,North
1480,31,Other,13,116.71,4158.82,One year,No,Yes,No,9,0,East
1481,26,Male,57,100.41,454.21,Month-to-month,Fiber optic,Yes,Yes,2,0,West
1482,57,Female,60,130.58,3791.54,Month-to-month,Fiber optic,Yes,Yes,3,0,South
1483,19,Male,12,32.04,1391.18,One year,No,Yes,Yes,9,1,South
1484,62,Male,9,115.74,4130.76,Month-to-month,DSL,No,Yes,4,1,West
1485,42,Male,27,100.29,682.71,One year,Fiber optic,Yes,No,8,1,West
1486,56,Male,63,94.66,2233.51,Two year,DSL,Yes,No,8,0,East
1487,26,Male,29,66,4770.88,Month-to-month,Fiber optic,No,No,5,0,South
1488,39,Female,22,68.04,1129.32,Two year,DSL,Yes,Yes,5,0,South
1489,60,Other,19,115.39,4981.99,Two year,No,No,No,8,1,South
1490,63,Female,38,102.05,212.68,One year,Fiber optic,No,Yes,7,1,East
1491,21,Female,39,97.69,8379.97,Two year,No,No,No,6,0,East
1492,43,Female,15,33.09,539.07,Month-to-month,DSL,Yes,No,5,1,East
1493,46,Other,54,48.61,1248.38,One year,Fiber optic,Yes,Yes,1,0,East
1494,62,Other,32,127.22,272.43,One year,No,No,No,7,0,East
1495,51,Other,46,75.88,831.73,Month-to-month,DSL,Yes,Yes,9,0,South
1496,40,Female,61,108.91,1886.28,Two year,No,Yes,Yes,9,0,West
1497,54,Other,52,69.31,3242.88,One year,DSL,No,No,4,1,West
1498,28,Male,34,107.19,5274.7,One year,No,Yes,No,5,0,West
1499,23,Other,35,42.03,1411.23,One year,DSL,Yes,No,2,0,East
1500,35,Female,70,34.24,5054.49,Month-to-month,DSL,No,Yes,0,0,North
1501,38,Female,37,77.07,100.16,Month-to-month,Fiber optic,Yes,Yes,5,0,West
